,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Domain,Standard Description
136,2023,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA001368680&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-RN.B.3,SR,NQ,AI.N-RN.B.3,Identify a statement about rational and irrational numbers that is not true and determine whether a given expression is rational.,2,59,55,4,Number and Quantity,The Real Number System,"Explain why the sum or product of two rational numbers is rational; that the sum of a rational number
and an irrational number is irrational; and that the product of a nonzero rational number and an
irrational number is irrational."
137,2023,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA315401&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-CED.A.2,SR,AF,AI.A-CED.A.2,Identify the equation of a line graphed on a coordinate plane.,1,70,68,2,Algebra,Creating Equations,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.
138,2023,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA308930&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.B.4,CR,AF,AI.F-IF.B.4,"Given a quadratic function that represents a context, evaluate the function for a specific input value, analyze how the function changes over different input values, and determine the maximum value of the function.",4,30,32,-2,Functions,Interpreting Functions,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; and end behavior."
139,2023,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA001478687&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-IF.C.9,SR,AF,AI.F-IF.C.9,Compare properties of a quadratic function shown on a graph and another represented by values in a table.,2,31,36,-5,Functions,Interpreting Functions,"Translate among different representations of functions (algebraically, graphically, numerically in tables,
or by verbal descriptions). Compare properties of two functions each represented in a different way. 
Massachusetts Curriculum Framework for Mathematics 113
For example, given a graph of one quadratic function and an algebraic expression for another, say
which has the larger maximum. "
140,2023,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA301385&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.F-LE.A.2,SR,AF,AI.F-LE.A.2,Construct an exponential function based on information in a table.,1,52,50,2,Functions,Linear Quadratic and Exponential Models,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (including reading these from a table)."
141,2023,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA314988&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.N-Q.A.2,SR,NQ,AI.N-Q.A.2,Use estimation skills to approximate the solution of a real-world problem.,1,58,64,-6,Number and Quantity,Quantities,Define appropriate quantities for the purpose of descriptive modeling.
142,2023,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA000774815&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.D.10,SR,AF,AI.A-REI.D.10,Identify the coordinates of points that lie on the graph of a linear equation.,1,38,47,-9,Algebra,Reasoning with Equations and Inequalities,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the
coordinate plane, often forming a curve (which could be a line). Show that any point on the graph of an
equation in two variables is a solution to the equation."
143,2023,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA316870&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-SRT.C.8,SA,GE,GEO.G-SRT.C.8,Use trigonometric ratios to determine side lengths in different right triangles based on a real-world context.,2,34,41,-7,Geometry,"Similarity, Right Triangles, and Trigonometry",Use trigonometric ratios and the Pythagorean Theorem to solve right triangles in applied problems.
144,2023,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA001275174&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=AI.A-REI.A.1,SR,AF,AI.A-REI.A.1,Justify each step in the solution of a linear equation.,1,60,45,15,Algebra,Reasoning with Equations and Inequalities,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify or refute a solution method."
145,2023,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%2010&view=ALL&itemUIN=MA315759&YearCode=2023,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=GEO.G-CO.C.10,SA,GE,GEO.G-CO.C.10,Use the Triangle Sum Theorem to determine an angle measure.,1,68,62,6,Geometry,Congruence,"Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180°; base angles of isosceles triangles are congruent, and conversely prove a triangle is isosceles; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point."
