,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Cluster,text_type
157,2024,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205345956&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=R.PK-12.1,SR,RE,R.PK-12.1,Identify an inference that is best supported by a sentence in an article.,1,80,74,6,Key Ideas and Details,Informational
158,2024,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205357027&YearCode=2024,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=L.PK-12.2,SR,LA,L.PK-12.2,Identify the purpose of colons in sentences from an excerpt and an article on similar topics.,2,71,61,10,Conventions,Informational
159,2024,21,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205354332&YearCode=2024,SR,RE,R.PK-12.3,Determine a detail from an excerpt that introduces an idea developed in a sentence from the excerpt; identify a quotation from an article on a similar topic that relates to the idea in the excerpt.,2,56,56,0,Key Ideas and Details,Informational
160,2024,22,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL205357541&YearCode=2024,ES,-,-,Write an essay arguing why specific skills are important based on an excerpt and an article on similar topics; use information from the excerpt and the article to develop the essay.,8,66,55,11,WR Combined (Conv/Idea Dev),Informational
161,2024,23,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911907629&YearCode=2024,SR,RE,R.PK-12.3,Analyze how an author introduces ideas in an excerpt.,1,81,71,10,Key Ideas and Details,Informational
162,2024,24,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911240858&YearCode=2024,SR,LA,L.PK-12.4,Determine the meaning of an unfamiliar word based on context.,1,89,78,11,Vocabulary Acquisition and Use,Informational
163,2024,25,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911884632&YearCode=2024,SR,LA,L.PK-12.3,Determine the reason an author uses quotation marks in an article.,1,77,79,-2,Knowledge of Language,Informational
164,2024,26,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911906790&YearCode=2024,SR,RE,R.PK-12.3,Determine which paragraph from an article presents an idea similar to an idea expressed in another article on a similar topic.,1,94,82,12,Key Ideas and Details,Informational
165,2024,27,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911800850&YearCode=2024,SR,RE,R.PK-12.1,Make an inference comparing ideas addressed in three texts on similar topics.,1,72,65,7,Key Ideas and Details,Informational
166,2024,28,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911876753&YearCode=2024,SR,RE,R.PK-12.1,Make an inference based on ideas from three texts on similar topics.,1,81,72,9,Key Ideas and Details,Informational
167,2024,29,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911447267&YearCode=2024,SR,RE,R.PK-12.3,Select evidence from two articles that supports an idea presented in an excerpt on a similar topic.,2,83,77,6,Key Ideas and Details,Informational
168,2024,30,FALSE,,https://mcas.digitalitemlibrary.com/home?subject=ELA&grades=Grade%2010&view=ALL&itemUIN=EL911438914&YearCode=2024,SR,RE,R.PK-12.2,Determine which quotations from three texts on similar topics support stated central ideas shared by the texts.,2,89,78,11,Key Ideas and Details,Informational
169,2024,WR9.IDEA1,,,,ES,WR,,Essay 9 Writing ( idea development ),5,67,53,14,,Literature
170,2024,LA9.CONV1,,,,ES,LA,,Essay 9 Language ( conventions ),3,92,77,15,,Literature
171,2024,WR22.IDEA2,,,,ES,WR,,Essay 22 Writing ( idea development ),5,56,46,10,,Informational
172,2024,LA22.CONV2,,,,ES,LA,,Essay 22 Language ( conventions ),3,83,71,12,,Informational
